fingerprint,fingerprint_short,nickname,ip_address,role,country_name,country_code,as_name,observed_bandwidth_bps,advertised_bandwidth_bps,first_seen,last_seen,flags,is_guard,is_exit,is_stable,is_fast,fetched_at,observed_bandwidth_mbps,advertised_bandwidth_mbps,uptime_days
000004ACBB9D29BCBA17256BB35928DDBFC8ABA9,000004AC,lisdex,152.53.144.50,Relay,Germany,de,netcup GmbH,46152978,46152978,2025-11-09 17:00:00,2025-12-15 14:00:00,"Fast,Running,Valid",0,0,0,1,2025-12-15T20:48:16.473234,46.15,46.15,35
0000775396823734F953D22C238F0FE85DB6F390,00007753,SharingIsCaring,188.195.48.170,Relay,Germany,de,Vodafone GmbH,899282,899282,2025-11-12 22:00:00,2025-12-15 14:00:00,"Fast,HSDir,Running,Stable,V2Dir,Valid",0,0,1,1,2025-12-15T20:48:16.473504,0.9,0.9,32
000A10D43011EA4928A35F610405F92B4433B4DC,000A10D4,seele,104.53.221.159,Relay,United States of America,us,"AT&T Enterprises, LLC",1008480,1008480,2014-08-23 06:00:00,2025-12-15 14:00:00,"Fast,HSDir,Running,Stable,V2Dir,Valid",0,0,1,1,2025-12-15T20:48:16.474295,1.01,1.01,4132
000D11C0BF30C48FD81644ED2AA3D3733A5149D1,000D11C0,hubbabubbaABC,83.108.59.221,Guard,Norway,no,Telenor Norge AS,16783813,16783813,2025-02-16 17:00:00,2025-12-15 14:00:00,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",1,0,1,1,2025-12-15T20:48:16.474306,16.78,16.78,301
000F3EB75342BE371F1D8D3FAE90890AEB5664EE,000F3EB7,SENDNOOSEplz,204.137.14.106,Guard+Exit,United States of America,us,Atomic Networks LLC,14168861,12697600,2023-07-08 00:00:00,2025-12-15 14:00:00,"Exit,Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",1,1,1,1,2025-12-15T20:48:16.474363,14.17,12.7,891
0011254CC8444369B20EF11156B8990438221A54,0011254C,titamon3,178.218.144.18,Guard+Exit,Italy,it,Lowhosting services of Davide Gennari,16657696,16657696,2022-10-25 19:00:00,2025-12-15 14:00:00,"Exit,Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",1,1,1,1,2025-12-15T20:48:16.474384,16.66,16.66,1146
00240ECB2B535AA4C1E1874D744DFA6AF2E5E941,00240ECB,skylarkRelay,95.111.230.178,Guard,Germany,de,Contabo GmbH,12178986,12178986,2020-08-28 11:00:00,2025-12-15 14:00:00,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",1,0,1,1,2025-12-15T20:48:16.474393,12.18,12.18,1935
0024E93D8366B4169981EA5A07A9B7AC319E08C2,0024E93D,9g4net3,185.184.70.225,Guard,United Kingdom of Great Britain and Northern Ireland,gb,MASSIVEGRID LTD,12440756,12440756,2025-03-02 19:00:00,2025-12-15 14:00:00,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",1,0,1,1,2025-12-15T20:48:16.474404,12.44,12.44,287
00251F9F626F0E741030AF54CE019B115D01697D,00251F9F,Quetzalcoatl,45.95.169.110,Guard+Exit,Croatia,hr,MAXKO d.o.o.,8082432,8082432,2025-02-21 20:00:00,2025-12-15 14:00:00,"Exit,Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",1,1,1,1,2025-12-15T20:48:16.474414,8.08,8.08,296
00283B5564E3072DCDDAB31D6EF622DD49BF524F,00283B55,StarAppsMobley,84.234.21.98,Guard,Switzerland,ch,Infomaniak Network SA,50267857,50267857,2021-10-01 17:00:00,2025-12-15 14:00:00,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",1,0,1,1,2025-12-15T20:48:16.474426,50.27,50.27,1535
0028C91CFBA3601F32F90EF9643BEF5ED031A658,0028C91C,ernies,80.239.189.84,Relay,Sweden,se,Arelion Sweden AB,12104801,12104801,2025-03-19 03:00:00,2025-12-15 14:00:00,"Fast,Running,Stable,V2Dir,Valid",0,0,1,1,2025-12-15T20:48:16.474439,12.1,12.1,271
0036FA36AB435FD5D0F640626636867EBFB72C68,0036FA36,ForPrivacyNET,185.220.101.33,Guard+Exit,Germany,de,Stiftung Erneuerbare Freiheit,35422208,35422208,2021-12-05 16:00:00,2025-12-15 14:00:00,"Exit,Fast,Guard,Running,Stable,V2Dir,Valid",1,1,1,1,2025-12-15T20:48:16.474450,35.42,35.42,1470
003A08F1ADC002D24979C68AA5A33369C04D9C7F,003A08F1,relayon0170,185.220.101.170,Exit,Germany,de,Stiftung Erneuerbare Freiheit,51332548,51332548,2023-11-09 05:00:00,2025-12-15 14:00:00,"Exit,Fast,Running,Stable,Valid",0,1,1,1,2025-12-15T20:48:16.474462,51.33,51.33,767
003F0225684496F1D4243592E6A92E3F0C4A5947,003F0225,Unnamed,8.219.15.13,Relay,Singapore,sg,"Alibaba (US) Technology Co., Ltd.",1343358,1343358,2025-12-01 18:00:00,2025-12-15 14:00:00,"Fast,HSDir,Running,Stable,V2Dir,Valid",0,0,1,1,2025-12-15T20:48:16.474473,1.34,1.34,13
0040E1791755D340BA8109F4C1849666582CF56C,0040E179,chali2na,64.65.62.145,Guard,United States of America,us,1st Amendment Encrypted Openness LLC,9213261,9213261,2025-03-09 05:00:00,2025-12-15 14:00:00,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",1,0,1,1,2025-12-15T20:48:16.474484,9.21,9.21,281
004A25BF22D034283EF44DFB2471B72FABB1C700,004A25BF,Quetzalcoatl,193.26.115.140,Exit,United States of America,us,1337 Services GmbH,8436736,8436736,2025-06-06 14:00:00,2025-12-15 14:00:00,"Exit,Fast,Running,Stable,V2Dir,Valid",0,1,1,1,2025-12-15T20:48:16.474496,8.44,8.44,192
004F9A0513C84E72054CEB555DB51EEEF319546D,004F9A05,NTH22R5,192.42.116.174,Exit,Netherlands,nl,Church of Cyberology,14963473,14963473,2023-07-01 21:00:00,2025-12-15 14:00:00,"Exit,Fast,Running,Stable,Valid",0,1,1,1,2025-12-15T20:48:16.474506,14.96,14.96,897
0050875D8D60D3C0EDC54E61DCA5FCE8BA900289,0050875D,ITSCTheLordMyLight,128.140.60.104,Guard,Germany,de,Hetzner Online GmbH,4904333,4194304,2025-05-18 11:00:00,2025-12-15 14:00:00,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",1,0,1,1,2025-12-15T20:48:16.474517,4.9,4.19,211
0055DB090820D7C08999EC1598FD6EA6365861AD,0055DB09,NTH33R5,192.42.116.185,Exit,Netherlands,nl,Church of Cyberology,16941679,16941679,2023-07-07 10:00:00,2025-12-15 14:00:00,"Exit,Fast,Running,Stable,Valid",0,1,1,1,2025-12-15T20:48:16.474528,16.94,16.94,892
005A2425FAD0E62F9E83DB2C052DB8F75ADF0885,005A2425,r0cket11i7,45.84.107.128,Exit,Sweden,se,QuxLabs AB,30636032,30636032,2025-02-16 11:00:00,2025-12-15 14:00:00,"Exit,Fast,Running,Stable,Valid",0,1,1,1,2025-12-15T20:48:16.474538,30.64,30.64,302
